purchase_id;partner_id;client_id;city_id;promotion_id;category_id;purchase_date;price;quantity;status
40;2;266;6;0;0;2020-09-17;470.00;1.00;1
41;0;650;4;3;3;2020-09-07;185.00;2.00;1
42;3;890;5;0;0;2020-08-17;450.00;2.00;1
43;0;169;3;1;1;2020-09-29;425.00;1.00;1
44;3;881;2;0;0;2020-06-04;255.00;6.00;1
45;1;813;5;3;3;2020-10-13;25.00;1.00;3
46;1;942;8;0;0;2020-03-22;95.00;1.00;1
47;2;945;6;2;2;2020-05-17;170.00;4.00;1
48;1;942;7;3;3;2020-09-15;465.00;7.00;1
49;1;650;1;3;3;2020-10-08;160.00;8.00;1
50;3;901;3;1;1;2020-06-01;165.00;1.00;1
51;3;883;3;0;0;2020-03-06;170.00;2.00;1
52;0;819;0;2;2;2020-04-10;110.00;2.00;2
53;2;735;7;1;1;2020-04-07;185.00;8.00;1
54;3;735;4;3;3;2020-04-29;160.00;1.00;1
55;3;108;6;3;3;2020-06-07;370.00;4.00;1
56;3;21;1;3;3;2020-06-04;115.00;3.00;1
57;3;526;2;1;1;2020-06-04;170.00;6.00;1
58;0;973;0;2;2;2020-09-22;240.00;7.00;1
59;2;122;2;2;2;2020-03-13;360.00;3.00;1
60;1;378;2;1;1;2020-04-26;55.00;9.00;1
61;1;122;1;0;0;2020-10-14;495.00;7.00;1
62;3;63;5;1;1;2020-09-15;100.00;6.00;1
63;2;93;2;1;1;2020-08-03;95.00;3.00;1
64;0;436;7;0;0;2020-04-12;220.00;4.00;2
65;1;635;4;1;1;2020-09-17;420.00;4.00;1
66;0;762;4;2;2;2020-09-12;310.00;2.00;1
67;1;39;3;1;1;2020-08-25;100.00;3.00;1
68;1;375;3;1;1;2020-04-06;55.00;3.00;1
69;2;699;4;3;3;2020-04-25;115.00;8.00;1
70;0;584;5;2;2;2020-08-09;45.00;9.00;1
71;3;13;5;1;1;2020-04-18;110.00;9.00;1
72;0;770;0;1;1;2020-06-29;75.00;5.00;3
73;0;642;3;0;0;2020-03-14;340.00;7.00;1
74;3;26;1;0;0;2020-05-12;25.00;1.00;1
75;2;776;2;2;2;2020-09-08;185.00;6.00;1
76;2;606;5;0;0;2020-08-25;495.00;2.00;1
77;3;437;5;0;0;2020-06-13;260.00;7.00;1
78;3;514;4;1;1;2020-03-12;205.00;7.00;1
79;3;417;1;2;2;2020-09-04;365.00;6.00;1
80;2;181;0;1;1;2020-08-23;390.00;4.00;1
81;2;867;8;3;3;2020-08-10;65.00;1.00;3
82;2;876;4;0;0;2020-07-15;455.00;3.00;3
83;1;954;3;3;3;2020-04-17;220.00;2.00;1
84;2;37;7;3;3;2020-10-30;450.00;9.00;1
85;2;721;5;1;1;2020-03-16;485.00;7.00;1
86;1;148;2;3;3;2020-07-19;430.00;1.00;1
87;0;336;1;0;0;2020-09-26;160.00;4.00;1
88;1;928;6;2;2;2020-10-31;280.00;9.00;1
89;0;408;3;2;2;2020-08-01;475.00;6.00;1
90;1;581;0;1;1;2020-10-25;230.00;5.00;1
91;1;846;5;1;1;2020-03-28;155.00;3.00;1
92;3;645;5;3;3;2020-03-18;470.00;1.00;1
93;0;976;3;1;1;2020-09-10;490.00;7.00;1
94;2;615;0;0;0;2020-08-30;435.00;7.00;1
95;3;193;7;2;2;2020-09-19;360.00;4.00;1
96;2;773;0;3;3;2020-06-26;60.00;8.00;1
97;0;427;2;3;3;2020-07-20;405.00;3.00;1
98;0;181;7;1;1;2020-08-14;130.00;7.00;1
99;2;685;7;1;1;2020-09-09;90.00;7.00;1
100;0;363;6;3;3;2020-07-20;455.00;7.00;1
101;2;298;4;1;1;2020-04-02;315.00;9.00;1
102;1;288;5;1;1;2020-03-04;145.00;4.00;1
103;2;261;3;1;1;2020-07-23;185.00;9.00;1
104;1;906;3;3;3;2020-07-03;145.00;9.00;1
105;2;648;4;2;2;2020-10-02;430.00;8.00;1
106;1;600;7;3;3;2020-10-30;160.00;3.00;1
107;3;50;8;0;0;2020-06-24;300.00;2.00;1
108;0;634;2;3;3;2020-04-08;40.00;2.00;1
109;0;989;1;1;1;2020-10-13;375.00;3.00;1
110;2;634;2;1;1;2020-05-24;265.00;5.00;1
111;0;8;7;0;0;2020-05-13;50.00;7.00;1
112;1;939;7;1;1;2020-08-12;165.00;8.00;2
113;2;34;8;2;2;2020-09-27;110.00;3.00;1
114;1;369;0;0;0;2020-09-08;285.00;3.00;2
115;2;416;1;0;0;2020-05-31;105.00;1.00;1
116;1;816;8;1;1;2020-05-16;190.00;4.00;1
117;2;358;4;1;1;2020-07-24;110.00;6.00;1
118;0;214;6;2;2;2020-10-14;70.00;3.00;2
119;2;152;2;1;1;2020-10-09;60.00;5.00;1
120;3;666;1;3;3;2020-08-31;150.00;4.00;1
121;0;667;3;2;2;2020-08-06;280.00;6.00;1
122;1;294;4;3;3;2020-04-28;185.00;2.00;2
123;0;237;8;2;2;2020-10-10;450.00;4.00;1
124;0;770;1;1;1;2020-10-10;335.00;9.00;1
125;0;434;4;0;0;2020-04-02;410.00;5.00;1
126;1;284;0;3;3;2020-10-29;360.00;8.00;1
127;0;739;5;0;0;2020-06-27;180.00;1.00;1
128;2;359;7;0;0;2020-09-04;295.00;4.00;1
129;1;384;6;1;1;2020-06-30;370.00;9.00;3
130;1;795;4;2;2;2020-06-23;25.00;1.00;1
131;2;968;6;0;0;2020-03-07;85.00;2.00;1
132;0;582;5;1;1;2020-07-31;415.00;5.00;1
133;3;946;6;3;3;2020-06-26;210.00;6.00;1
134;2;217;8;0;0;2020-10-31;350.00;7.00;1
135;1;16;5;0;0;2020-09-20;145.00;7.00;1
136;2;523;0;2;2;2020-05-31;465.00;5.00;1
137;3;705;6;1;1;2020-10-16;450.00;4.00;1
138;1;976;1;0;0;2020-04-14;325.00;6.00;1
139;3;163;3;0;0;2020-07-13;245.00;8.00;1
140;3;343;1;3;3;2020-07-19;350.00;2.00;1
141;0;427;8;2;2;2020-10-06;225.00;2.00;3
142;3;608;8;1;1;2020-07-02;120.00;8.00;1
143;3;829;3;2;2;2020-06-20;270.00;3.00;1
144;2;41;7;2;2;2020-10-21;255.00;2.00;1
145;2;986;4;1;1;2020-09-10;435.00;6.00;1
146;0;972;5;3;3;2020-10-23;230.00;1.00;1
147;1;563;7;1;1;2020-09-21;65.00;3.00;1
148;0;408;4;0;0;2020-06-20;75.00;4.00;1
149;3;568;0;1;1;2020-10-21;50.00;7.00;1
150;1;371;3;1;1;2020-08-15;210.00;4.00;3
151;2;351;4;0;0;2020-08-28;315.00;4.00;1
152;3;310;1;0;0;2020-05-29;145.00;4.00;1
153;0;736;0;2;2;2020-08-29;55.00;9.00;1
154;2;183;3;3;3;2020-05-10;115.00;3.00;1
155;2;785;0;2;2;2020-04-17;100.00;9.00;1
156;1;580;8;1;1;2020-08-03;155.00;2.00;1
157;0;828;2;3;3;2020-08-24;435.00;9.00;1
158;2;145;1;3;3;2020-10-13;15.00;4.00;1
159;3;585;6;1;1;2020-05-20;155.00;7.00;1
160;2;85;4;0;0;2020-08-24;460.00;4.00;1
161;1;184;5;2;2;2020-06-28;305.00;3.00;1
162;0;615;7;3;3;2020-09-08;110.00;1.00;1
163;0;571;0;2;2;2020-04-06;495.00;2.00;1
164;3;883;3;0;0;2020-08-04;170.00;4.00;1
165;1;252;8;0;0;2020-10-11;190.00;9.00;1
166;1;280;5;1;1;2020-04-07;10.00;5.00;1
167;0;739;4;1;1;2020-10-10;320.00;7.00;1
168;2;81;0;0;0;2020-04-01;330.00;8.00;1
169;2;593;8;1;1;2020-05-09;190.00;6.00;1
170;2;195;0;0;0;2020-07-28;295.00;9.00;1
171;0;996;8;0;0;2020-03-28;25.00;8.00;1
172;0;455;0;3;3;2020-06-02;125.00;3.00;1
173;0;833;7;0;0;2020-03-13;480.00;9.00;1
174;3;785;2;0;0;2020-06-24;480.00;6.00;3
175;1;915;1;1;1;2020-08-20;120.00;3.00;1
176;0;127;4;1;1;2020-07-25;130.00;1.00;1
177;3;860;4;0;0;2020-05-16;40.00;4.00;3
178;3;18;4;2;2;2020-09-09;240.00;7.00;1
179;0;908;6;0;0;2020-10-08;290.00;6.00;1
180;0;574;8;2;2;2020-06-06;85.00;9.00;1
181;3;875;6;0;0;2020-07-27;240.00;2.00;1
182;1;330;0;0;0;2020-06-14;275.00;9.00;1
183;2;775;1;3;3;2020-04-30;365.00;6.00;1
184;3;539;6;3;3;2020-09-24;155.00;8.00;1
185;1;131;8;3;3;2020-10-23;445.00;4.00;1
186;3;855;8;2;2;2020-10-13;40.00;1.00;1
187;0;670;6;3;3;2020-06-06;185.00;3.00;1
188;2;712;4;3;3;2020-04-20;215.00;7.00;1
189;3;619;0;2;2;2020-07-15;45.00;2.00;1
190;1;202;4;1;1;2020-10-27;10.00;5.00;1
191;2;807;4;2;2;2020-10-10;415.00;1.00;3
192;3;814;6;1;1;2020-08-28;200.00;3.00;1
193;1;895;1;1;1;2020-09-04;335.00;1.00;1
194;0;981;3;2;2;2020-09-03;175.00;1.00;1
195;1;146;0;1;1;2020-10-27;490.00;1.00;1
196;1;970;5;0;0;2020-07-19;440.00;6.00;1
197;3;11;5;1;1;2020-09-29;310.00;7.00;1
198;0;693;8;2;2;2020-03-07;20.00;2.00;1
199;0;173;8;2;2;2020-05-24;440.00;7.00;1
200;3;104;5;2;2;2020-07-03;250.00;2.00;1
201;3;177;6;3;3;2020-04-04;120.00;3.00;2
202;0;760;8;3;3;2020-08-01;435.00;6.00;1
203;2;95;5;0;0;2020-10-23;425.00;9.00;1
204;2;329;3;3;3;2020-06-07;80.00;7.00;1
205;3;139;3;1;1;2020-03-31;190.00;2.00;1
206;1;34;6;2;2;2020-04-18;195.00;6.00;1
207;2;394;8;1;1;2020-09-04;340.00;9.00;1
208;1;476;3;3;3;2020-04-23;310.00;1.00;1
209;3;657;7;1;1;2020-10-20;460.00;9.00;1
210;0;30;2;0;0;2020-03-07;345.00;6.00;1
211;3;72;6;1;1;2020-08-04;445.00;3.00;2
212;3;622;8;3;3;2020-06-27;25.00;2.00;1
213;0;258;1;1;1;2020-05-31;470.00;6.00;1
214;0;473;4;3;3;2020-07-28;380.00;9.00;1
215;3;884;1;0;0;2020-09-28;420.00;7.00;1
216;1;940;8;1;1;2020-08-29;320.00;7.00;1
217;0;108;6;1;1;2020-04-21;180.00;5.00;1
218;0;115;2;3;3;2020-07-25;120.00;4.00;1
219;2;696;3;2;2;2020-07-25;340.00;2.00;1
220;1;561;1;2;2;2020-04-26;230.00;4.00;3
221;1;780;7;2;2;2020-06-22;175.00;8.00;1
222;1;846;7;0;0;2020-10-13;445.00;6.00;1
223;0;611;7;0;0;2020-03-22;490.00;8.00;1
224;2;869;7;1;1;2020-08-04;160.00;9.00;1
225;0;706;2;3;3;2020-08-13;315.00;1.00;1
226;1;297;8;1;1;2020-08-21;250.00;2.00;1
227;0;178;2;0;0;2020-07-01;170.00;8.00;1
228;0;747;8;0;0;2020-10-14;405.00;8.00;1
229;1;808;0;0;0;2020-07-03;265.00;1.00;1
230;2;491;7;3;3;2020-10-22;95.00;1.00;1
231;1;257;5;3;3;2020-04-14;285.00;2.00;3
232;0;910;6;2;2;2020-08-04;440.00;3.00;1
233;3;439;4;3;3;2020-10-03;45.00;3.00;1
234;2;665;6;1;1;2020-05-29;75.00;6.00;1
235;1;448;2;2;2;2020-05-15;100.00;5.00;1
236;1;474;6;0;0;2020-07-31;50.00;8.00;1
237;1;151;6;2;2;2020-09-07;235.00;8.00;1
238;2;154;4;3;3;2020-04-18;160.00;1.00;1
239;2;257;7;1;1;2020-06-03;300.00;9.00;1
240;0;671;2;2;2;2020-04-29;340.00;4.00;3
241;3;58;5;2;2;2020-08-23;175.00;4.00;1
242;1;293;0;2;2;2020-08-01;340.00;6.00;2
243;0;282;3;1;1;2020-05-26;75.00;9.00;1
244;3;582;1;0;0;2020-08-20;215.00;2.00;1
245;0;64;2;0;0;2020-05-03;465.00;2.00;1
246;2;613;8;0;0;2020-06-28;150.00;8.00;1
247;2;421;5;2;2;2020-09-10;195.00;3.00;1
248;1;933;0;2;2;2020-09-20;100.00;7.00;1
249;0;848;5;1;1;2020-10-27;320.00;1.00;1
250;2;681;2;2;2;2020-06-23;170.00;9.00;1
251;3;835;3;0;0;2020-08-31;390.00;2.00;1
252;0;703;4;2;2;2020-05-02;135.00;6.00;1
253;2;111;0;1;1;2020-10-20;235.00;4.00;3
254;2;510;5;2;2;2020-06-26;200.00;1.00;3
255;0;343;5;0;0;2020-09-13;115.00;3.00;2
256;1;859;2;0;0;2020-09-16;430.00;6.00;3
257;0;384;0;1;1;2020-09-05;495.00;6.00;1
258;3;464;7;2;2;2020-03-25;45.00;8.00;1
259;0;310;0;1;1;2020-10-28;365.00;2.00;1
260;0;735;1;0;0;2020-03-10;60.00;7.00;1
261;1;290;2;1;1;2020-10-31;310.00;1.00;1
262;1;628;2;2;2;2020-05-22;60.00;1.00;1
263;2;681;2;1;1;2020-06-02;480.00;1.00;1
264;2;288;2;1;1;2020-05-31;340.00;6.00;1
265;2;871;8;2;2;2020-10-20;215.00;4.00;2
266;2;945;1;3;3;2020-04-12;25.00;5.00;1
267;0;418;5;3;3;2020-10-15;405.00;1.00;1
268;2;495;4;1;1;2020-05-10;120.00;1.00;1
269;3;794;8;1;1;2020-03-11;350.00;4.00;1
270;2;637;6;2;2;2020-09-13;395.00;9.00;1
271;2;735;4;0;0;2020-09-03;105.00;4.00;1
272;2;198;0;2;2;2020-08-05;470.00;7.00;1
273;1;261;6;2;2;2020-06-28;435.00;1.00;1
274;2;5;7;1;1;2020-03-22;465.00;1.00;1
275;3;911;2;3;3;2020-05-13;105.00;4.00;1
276;1;55;7;0;0;2020-06-16;245.00;2.00;1
277;3;531;8;2;2;2020-08-09;445.00;8.00;1
278;1;367;6;2;2;2020-07-01;65.00;2.00;1
279;1;838;2;0;0;2020-09-12;285.00;8.00;2
280;0;873;0;1;1;2020-07-05;360.00;3.00;1
281;1;703;3;1;1;2020-08-19;370.00;9.00;1
282;1;164;8;2;2;2020-05-15;485.00;5.00;1
283;0;603;2;3;3;2020-03-16;120.00;6.00;1
284;1;870;4;1;1;2020-06-07;395.00;4.00;1
285;1;18;7;3;3;2020-05-25;375.00;3.00;1
286;3;672;3;0;0;2020-05-07;185.00;1.00;1
287;2;917;7;3;3;2020-06-07;40.00;4.00;1
288;3;9;0;1;1;2020-03-27;490.00;3.00;1
289;2;221;1;1;1;2020-08-24;150.00;4.00;1
290;0;420;8;3;3;2020-05-09;435.00;2.00;1
291;0;727;3;1;1;2020-09-19;15.00;5.00;1
292;2;230;1;0;0;2020-08-22;205.00;9.00;1
293;3;739;4;2;2;2020-05-04;285.00;7.00;3
294;0;88;5;3;3;2020-10-14;335.00;8.00;2
295;1;306;2;3;3;2020-08-17;470.00;4.00;1
296;1;468;8;3;3;2020-04-11;265.00;5.00;3
297;1;917;0;2;2;2020-08-25;390.00;8.00;1
298;2;64;0;3;3;2020-06-07;470.00;9.00;1
299;3;749;3;0;0;2020-06-25;135.00;3.00;1
300;3;265;5;3;3;2020-08-19;120.00;7.00;1
301;2;20;5;3;3;2020-03-05;145.00;2.00;2
302;1;306;1;0;0;2020-08-18;305.00;2.00;1
303;0;572;3;0;0;2020-07-24;460.00;9.00;3
304;2;207;8;3;3;2020-07-04;270.00;3.00;1
305;1;681;6;2;2;2020-09-30;20.00;7.00;1
306;0;448;7;2;2;2020-06-07;370.00;5.00;1
307;3;969;8;0;0;2020-09-16;95.00;6.00;1
308;2;881;8;0;0;2020-10-27;465.00;7.00;1
309;3;981;3;0;0;2020-07-02;50.00;6.00;1
310;0;303;6;2;2;2020-07-08;195.00;7.00;3
311;3;116;4;3;3;2020-09-23;250.00;4.00;1
312;0;474;3;1;1;2020-10-31;390.00;2.00;1
313;0;956;4;1;1;2020-10-21;95.00;6.00;3
314;3;843;6;2;2;2020-06-29;280.00;4.00;1
315;1;603;1;3;3;2020-10-17;325.00;4.00;1
316;1;753;4;2;2;2020-05-22;160.00;7.00;1
317;1;389;6;3;3;2020-10-13;490.00;9.00;1
318;3;762;5;0;0;2020-03-24;290.00;6.00;1
319;0;759;4;1;1;2020-10-26;325.00;2.00;2
320;3;270;1;0;0;2020-10-08;380.00;9.00;1
321;1;154;7;1;1;2020-07-15;240.00;5.00;1
322;0;464;6;3;3;2020-10-15;390.00;2.00;1
323;0;596;3;2;2;2020-09-11;365.00;5.00;1
324;0;274;1;0;0;2020-06-02;465.00;2.00;1
325;2;826;8;2;2;2020-10-06;95.00;4.00;1
326;1;291;5;3;3;2020-10-19;300.00;6.00;2
327;0;81;1;3;3;2020-10-28;240.00;9.00;1
328;0;423;0;3;3;2020-10-03;225.00;8.00;1
329;1;818;4;0;0;2020-07-13;480.00;3.00;1
330;2;558;8;2;2;2020-04-06;405.00;3.00;1
331;3;954;8;1;1;2020-09-04;345.00;8.00;1
332;3;142;6;2;2;2020-08-18;85.00;7.00;1
333;0;132;4;3;3;2020-06-12;25.00;4.00;1
334;2;603;6;2;2;2020-09-15;165.00;8.00;1
335;3;60;5;1;1;2020-04-19;295.00;4.00;1
336;0;586;8;1;1;2020-09-15;30.00;3.00;1
337;0;896;1;2;2;2020-10-15;140.00;4.00;1
338;2;480;8;2;2;2020-06-14;355.00;3.00;1
339;3;502;3;2;2;2020-10-20;225.00;8.00;1
340;2;850;6;3;3;2020-08-12;335.00;1.00;1
341;1;630;6;1;1;2020-08-19;100.00;6.00;1
342;2;500;7;2;2;2020-07-23;20.00;2.00;1
343;2;871;7;3;3;2020-08-21;205.00;9.00;2
344;1;405;0;1;1;2020-07-05;410.00;6.00;1
345;3;493;8;1;1;2020-03-19;80.00;3.00;1
346;3;867;7;0;0;2020-07-20;55.00;3.00;1
347;0;93;4;0;0;2020-07-04;305.00;1.00;1
348;3;263;4;1;1;2020-06-29;490.00;1.00;1
349;0;594;5;3;3;2020-06-22;90.00;3.00;1
350;1;816;8;0;0;2020-07-28;475.00;2.00;1
351;0;992;1;1;1;2020-10-18;160.00;6.00;1
352;3;635;5;2;2;2020-09-21;115.00;2.00;1
353;0;374;8;0;0;2020-08-26;455.00;2.00;1
354;3;692;2;1;1;2020-05-17;260.00;1.00;1
355;1;518;8;3;3;2020-04-19;55.00;4.00;1
356;0;894;8;0;0;2020-10-25;335.00;1.00;1
357;1;546;6;1;1;2020-04-10;225.00;9.00;1
358;0;282;6;1;1;2020-06-18;95.00;2.00;1
359;0;754;6;1;1;2020-07-17;45.00;3.00;1
360;1;664;7;2;2;2020-05-21;10.00;1.00;2
361;3;55;7;3;3;2020-10-25;290.00;3.00;1
362;2;956;3;2;2;2020-06-13;455.00;5.00;1
363;3;362;7;3;3;2020-09-21;170.00;5.00;2
364;3;837;1;3;3;2020-05-16;95.00;8.00;1
365;0;470;2;0;0;2020-07-04;175.00;4.00;1
366;2;481;4;3;3;2020-09-28;185.00;3.00;1
367;0;803;0;0;0;2020-08-24;455.00;9.00;1
368;0;476;8;1;1;2020-06-16;300.00;2.00;1
369;3;392;8;3;3;2020-08-22;365.00;6.00;1
370;2;590;3;0;0;2020-10-21;65.00;6.00;1
371;1;6;4;2;2;2020-09-14;370.00;5.00;1
372;3;757;1;2;2;2020-10-16;235.00;4.00;1
373;1;982;5;0;0;2020-03-20;70.00;4.00;2
374;3;598;8;2;2;2020-07-13;25.00;1.00;1
375;2;885;4;2;2;2020-07-07;335.00;7.00;1
376;1;723;4;0;0;2020-10-24;285.00;4.00;1
377;3;734;6;2;2;2020-04-21;15.00;4.00;1
378;3;222;5;2;2;2020-10-03;75.00;5.00;1
379;2;212;1;3;3;2020-05-21;240.00;8.00;1
380;1;917;2;3;3;2020-08-31;10.00;7.00;3
381;1;749;5;1;1;2020-04-15;250.00;7.00;1
382;2;19;6;2;2;2020-10-11;225.00;6.00;1
383;2;545;6;3;3;2020-07-29;355.00;3.00;1
384;1;18;6;1;1;2020-07-03;240.00;5.00;1
385;2;92;1;3;3;2020-03-04;475.00;9.00;1
386;3;661;7;2;2;2020-09-28;50.00;5.00;1
387;2;703;2;1;1;2020-03-29;145.00;3.00;1
388;3;894;6;2;2;2020-06-16;195.00;5.00;1
389;2;203;0;3;3;2020-10-05;5.00;5.00;1
390;1;271;7;0;0;2020-07-11;145.00;9.00;1
391;0;129;6;2;2;2020-10-25;5.00;9.00;1
392;1;971;5;0;0;2020-05-04;170.00;6.00;2
393;3;310;6;2;2;2020-05-04;130.00;8.00;3
394;3;679;7;1;1;2020-04-19;60.00;4.00;1
395;0;581;5;0;0;2020-10-04;360.00;9.00;1
396;2;321;2;1;1;2020-05-30;150.00;7.00;1
397;0;318;3;2;2;2020-09-23;70.00;8.00;3
398;0;684;5;3;3;2020-05-21;180.00;3.00;1
399;1;789;8;0;0;2020-04-19;375.00;8.00;1
400;1;32;8;2;2;2020-05-03;160.00;9.00;1
401;0;292;4;2;2;2020-09-04;225.00;7.00;1
402;1;118;1;3;3;2020-05-12;210.00;4.00;1
403;2;646;8;3;3;2020-08-08;430.00;7.00;3
404;1;669;3;2;2;2020-05-08;410.00;7.00;1
405;2;910;2;2;2;2020-06-21;45.00;1.00;1
406;1;137;4;1;1;2020-05-30;25.00;3.00;3
407;3;644;7;3;3;2020-09-20;235.00;4.00;1
408;3;428;2;1;1;2020-07-19;335.00;2.00;3
409;3;415;2;0;0;2020-04-09;140.00;7.00;1
410;1;695;4;0;0;2020-10-21;375.00;7.00;3
411;1;863;3;0;0;2020-07-11;320.00;9.00;3
412;3;561;5;1;1;2020-06-06;435.00;7.00;1
413;3;583;1;3;3;2020-08-04;260.00;8.00;1
414;2;86;2;2;2;2020-10-01;385.00;7.00;1
415;2;838;2;3;3;2020-09-27;450.00;5.00;1
416;1;326;8;1;1;2020-10-16;295.00;6.00;1
417;0;735;4;0;0;2020-09-08;415.00;3.00;1
418;2;90;1;0;0;2020-07-14;295.00;4.00;1
419;2;13;3;1;1;2020-08-12;390.00;5.00;1
420;1;274;4;2;2;2020-08-15;450.00;4.00;1
421;0;224;3;2;2;2020-09-22;120.00;2.00;1
422;0;719;7;3;3;2020-04-30;160.00;3.00;1
423;0;590;7;0;0;2020-05-10;320.00;7.00;1
424;3;686;3;0;0;2020-09-30;350.00;9.00;1
425;2;267;3;0;0;2020-10-13;405.00;7.00;1
426;3;873;1;2;2;2020-10-13;490.00;1.00;1
427;3;591;8;1;1;2020-03-29;490.00;2.00;1
428;3;413;8;0;0;2020-04-30;130.00;2.00;1
429;3;262;8;2;2;2020-06-18;365.00;5.00;1
430;2;916;4;3;3;2020-08-28;265.00;4.00;1
431;1;439;7;0;0;2020-03-23;305.00;3.00;1
432;2;935;7;0;0;2020-07-31;20.00;7.00;1
433;0;309;0;1;1;2020-09-14;400.00;5.00;1
434;2;413;8;2;2;2020-09-29;485.00;9.00;1
435;3;291;2;1;1;2020-05-25;230.00;4.00;3
436;2;326;4;3;3;2020-03-30;270.00;8.00;1
437;0;179;5;1;1;2020-06-30;315.00;8.00;1
438;0;778;1;3;3;2020-04-11;380.00;1.00;1
439;3;701;1;0;0;2020-04-01;10.00;4.00;1
440;3;940;3;3;3;2020-08-16;35.00;1.00;2
441;3;378;1;0;0;2020-08-27;100.00;2.00;1
442;0;97;3;1;1;2020-10-04;375.00;1.00;1
443;0;71;5;3;3;2020-06-14;340.00;9.00;1
444;1;134;6;2;2;2020-07-30;305.00;4.00;1
445;3;480;6;0;0;2020-04-19;165.00;3.00;1
446;3;570;6;0;0;2020-09-13;90.00;4.00;1
447;1;739;7;1;1;2020-05-26;340.00;9.00;1
448;0;84;8;3;3;2020-09-29;130.00;2.00;1
449;2;123;4;3;3;2020-07-07;375.00;2.00;1
450;1;654;1;0;0;2020-10-29;145.00;5.00;1
451;3;262;0;3;3;2020-08-08;395.00;2.00;1
452;1;846;5;3;3;2020-04-06;495.00;9.00;1
453;3;140;1;0;0;2020-09-15;170.00;8.00;1
454;3;73;6;1;1;2020-04-13;445.00;4.00;1
455;1;936;1;1;1;2020-04-28;205.00;7.00;1
456;2;47;5;1;1;2020-09-05;325.00;8.00;1
457;1;279;7;0;0;2020-04-04;340.00;4.00;3
458;3;702;4;1;1;2020-07-03;60.00;1.00;1
459;3;609;5;1;1;2020-05-13;420.00;2.00;1
460;1;420;4;3;3;2020-10-04;155.00;7.00;1
461;1;577;7;2;2;2020-09-19;150.00;2.00;1
462;1;72;0;1;1;2020-04-17;300.00;6.00;1
463;2;265;4;1;1;2020-07-09;80.00;5.00;1
464;2;501;0;1;1;2020-09-20;95.00;4.00;1
465;1;212;5;1;1;2020-08-16;205.00;9.00;1
466;1;443;4;2;2;2020-03-05;235.00;1.00;1
467;1;347;1;0;0;2020-09-11;435.00;3.00;2
468;3;719;3;0;0;2020-04-13;365.00;4.00;1
469;0;309;1;3;3;2020-08-03;110.00;2.00;1
470;3;918;5;1;1;2020-05-01;165.00;4.00;1
471;0;154;3;2;2;2020-07-24;5.00;4.00;1
472;1;661;6;2;2;2020-08-08;250.00;4.00;1
473;1;77;4;1;1;2020-06-18;55.00;9.00;2
474;1;226;1;2;2;2020-08-03;445.00;8.00;1
475;3;131;1;1;1;2020-09-25;60.00;5.00;1
476;2;697;1;1;1;2020-06-04;165.00;3.00;1
477;0;604;7;3;3;2020-07-20;345.00;1.00;1
478;1;148;3;3;3;2020-08-10;155.00;6.00;1
